01.Licence Number,02.Current Licence Status,03.Licensee Name,04.Orig BA Code,05.Surface Location,06.Detection Date,07.Report Date,08.Report Status,09.Failure Type,10.Failure Top Depth (mKB),11.Failure Depth Bottom (mKB),12.Reported Resolution,13.Reported Resolution Date,14.Steam Scheme Type,15.Connection Type,16.Final Drill Date
 0317119,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,06-08-068-04W4,"Feb 05, 2013","Jun 04, 2013",Closed,Parted,454,455,Cemented Liner,"Aug 26, 2014",Cyclic Steam,Hydril,"Feb 17, 2005"
 0317153,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,11-08-068-04W4,"Feb 05, 2013","Jun 04, 2013",Closed,Parted,456,456,Casing Patch,"Aug 20, 2013",Cyclic Steam,Hydril,"Mar 15, 2005"
 0327264,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,05-27-066-05W4,"Feb 14, 2011","Mar 11, 2011",Open,Parted,278,278,,,Cyclic Steam,Hydril,"Apr 14, 2005"
 0402532,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-11-068-04W4,"Feb 14, 2013","Feb 26, 2013",Closed,Parted,268,268,Casing Patch,"May 23, 2013",Cyclic Steam,Hydril,"May 04, 2009"
 0343480,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,01-15-067-04W4,"Feb 20, 2009","May 06, 2010",Closed,Collapse,331,332,Casing Patch,"Mar 16, 2010",Cyclic Steam,Hydril,"Mar 14, 2006"
 0327250,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,05-27-066-05W4,"Feb 20, 2011","Mar 16, 2011",Open,Parted,280,280,,,Cyclic Steam,Hydril,"May 09, 2005"
 0049292,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,10-20-067-07W5,"Feb 25, 2005","Feb 25, 2005",Closed,Hole,102,108,Cement Squeeze/Plug,"Mar 13, 2006",,Hydril,"Mar 18, 1974"
 0284601,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-35-067-04W4,"Feb 27, 2007","Jul 24, 2009",Closed,Parted,257,257,Casing Patch,"Aug 04, 2009",Cyclic Steam,Hydril,"Nov 26, 2003"
 0284606,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-35-067-04W4,"Jan 03, 2014","Apr 10, 2014",Closed,Parted,561,561,Entry Error-Ignore,"May 01, 2014",Cyclic Steam,Hydril,"Dec 13, 2003"
 0301759,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-02-068-04W4,"Jan 05, 2011","Dec 10, 2013",Closed,Parted,271,271,Cemented Liner,"Dec 12, 2013",Cyclic Steam,Hydril,"Apr 17, 2004"
 0301759,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-02-068-04W4,"Jan 05, 2011","Jan 18, 2011",Closed,Parted,271,271,Casing Patch,"Jun 04, 2011",Cyclic Steam,Hydril,"Apr 17, 2004"
 0409740,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,04-15-068-04W4,"Jan 05, 2016","Jan 26, 2016",Closed,Parted,254,254,Cement Squeeze/Plug,"Feb 12, 2016",Cyclic Steam,Hydril,"Jun 28, 2009"
 0317126,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,06-08-068-04W4,"Jan 07, 2010","Feb 26, 2010",Closed,Parted,249,250,Cemented Liner,"Mar 01, 2010",Cyclic Steam,Hydril,"Apr 11, 2005"
 0345537,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,08-30-068-04W4,"Jul 01, 2008","Sep 17, 2008",Closed,Parted,491,491,Cemented Liner,"Sep 04, 2008",Cyclic Steam,Hydril,"Jan 17, 2006"
 0278832,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-26-067-04W4,"Jul 03, 2009","Jan 23, 2013",Closed,Parted,342,342,Casing Patch,"Feb 20, 2013",,Hydril,"Mar 01, 2003"
 0278832,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-26-067-04W4,"Jul 03, 2009","Jul 22, 2009",Closed,Parted,524,524,Bridge Plug,"Jul 22, 2009",Cyclic Steam,Hydril,"Mar 01, 2003"
 0409658,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,01-15-068-04W4,"Jul 13, 2011","Jul 21, 2011",Closed,Parted,582,585,Cement Squeeze/Plug,"Oct 07, 2011",Cyclic Steam,Hydril,"Sep 20, 2009"
 0442938,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,05-02-067-04W4,"Jul 15, 2018","Jul 16, 2018",Closed,Parted,276,276,Cemented Liner,"Aug 10, 2018",Cyclic Steam,Hydril,"Jun 12, 2012"
 0409753,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,04-15-068-04W4,"Jul 16, 2018","Aug 07, 2018",Closed,Parted,316,317,Cement Squeeze/Plug,"Sep 19, 2018",Cyclic Steam,Hydril,"Aug 02, 2009"
 0424669,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,14-34-067-04W4,"Jul 24, 2023","Jul 25, 2023",Closed,Parted,262,264,Cemented Liner,"Aug 24, 2023",,Hydril,"Apr 20, 2011"
 0409654,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,01-15-068-04W4,"Jul 25, 2012","Sep 16, 2012",Closed,Parted,628,628,Bridge Plug,"Aug 13, 2012",Cyclic Steam,Hydril,"Sep 17, 2009"
 0317152,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,11-08-068-04W4,"Jul 27, 2014","Jul 28, 2014",Closed,Parted,334,334,Casing Patch,"Aug 16, 2014",Cyclic Steam,Hydril,"Apr 20, 2005"
 0284585,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-35-067-04W4,"Jul 28, 2009","Jul 30, 2009",Closed,Parted,257,257,Casing Patch,"May 01, 2011",Cyclic Steam,Hydril,"Nov 20, 2003"
 0442921,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,11-02-067-04W4,"Jul 28, 2018","Jul 29, 2018",Closed,Parted,273,273,Cemented Liner,"Aug 08, 2018",Cyclic Steam,Hydril,"Jun 21, 2012"
 0317148,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,11-08-068-04W4,"Jun 02, 2013","Jun 05, 2013",Closed,Parted,247,247,Casing Patch,"Jun 15, 2013",Cyclic Steam,Hydril,"Apr 30, 2005"
 0442928,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,05-02-067-04W4,"Jun 05, 2018","Jun 06, 2018",Closed,Parted,273,274,Cemented Liner,"Sep 08, 2018",Cyclic Steam,Hydril,"May 17, 2012"
 0091034,Suspension,Keyera Energy Ltd. (A0C0),A0C0,06-06-048-13W5,"Jun 06, 2016","Jun 16, 2016",Closed,Hole,830,3345,Replaced Failed Casing,"Oct 30, 2016",,Hydril,"Sep 28, 1981"
 0343457,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,01-15-067-04W4,"Jun 07, 2012","Jun 18, 2012",Closed,Thread Leak,615,615,Failure in Prod Zone,"Jun 12, 2012",Cyclic Steam,Hydril,"Mar 04, 2006"
 0317128,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,06-08-068-04W4,"Jun 07, 2014","Jun 24, 2014",Closed,Parted,269,269,Casing Patch,"Jul 16, 2014",Cyclic Steam,Hydril,"Apr 17, 2005"
 0232243,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,08-21-067-04W4,"Jun 19, 2010","Jun 28, 2010",Closed,Parted,308,309,Bridge Plug,"Jun 20, 2010",Cyclic Steam,Hydril,"May 03, 2000"
 0232243,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,08-21-067-04W4,"Jun 19, 2010","Mar 31, 2014",Closed,Parted,308,309,Casing Patch,"Apr 18, 2014",Cyclic Steam,Hydril,"May 03, 2000"
 0345536,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,08-30-068-04W4,"Jun 24, 2008","Sep 17, 2008",Closed,Parted,508,508,Failure in Prod Zone,"Jun 23, 2009",Cyclic Steam,Hydril,"Jan 21, 2006"
 0445686,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,01-21-068-04W4,"Mar 04, 2019","Dec 11, 2019",Open,Parted,268,268,,,Cyclic Steam,Hydril,"Sep 05, 2012"
 0445701,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,08-21-068-04W4,"Mar 05, 2019","Mar 19, 2019",Open,Parted,330,330,,,Cyclic Steam,Hydril,"Aug 07, 2012"
 0317146,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,11-08-068-04W4,"Mar 09, 2010","Mar 12, 2010",Closed,Parted,249,249,Cemented Liner,"Apr 13, 2010",Cyclic Steam,Hydril,"Mar 07, 2005"
 0442936,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,05-02-067-04W4,"Mar 10, 2018","Mar 16, 2018",Closed,Parted,271,271,Cemented Liner,"Sep 06, 2018",Cyclic Steam,Hydril,"Jun 22, 2012"
 0345537,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,08-30-068-04W4,"Mar 11, 2011","Apr 06, 2011",Closed,Parted,197,197,Bridge Plug,"Mar 11, 2011",Cyclic Steam,Hydril,"Jan 17, 2006"
 0248247,Suspension,Suncor Energy Inc. (0054),0054,05-04-093-12W4,"Mar 11, 2021","Mar 18, 2021",Open,Hole,1,20,,,,Hydril,"Mar 11, 2001"
 0446672,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,07-22-068-04W4,"Mar 12, 2019","Apr 29, 2019",Open,Parted,276,276,,,Cyclic Steam,Hydril,"Oct 10, 2012"
 0317129,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,06-08-068-04W4,"Mar 15, 2014","Mar 17, 2014",Closed,Parted,246,246,Casing Patch,"Mar 16, 2014",Cyclic Steam,Hydril,"May 11, 2005"
 0232006,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,06-22-067-04W4,"Mar 20, 2011","Apr 19, 2011",Closed,Hole,574,580,Entry Error-Ignore,,Cyclic Steam,Hydril,"May 04, 2000"
 0378144,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,13-06-067-02W4,"Mar 24, 2012","May 17, 2013",Closed,Parted,645,645,Failure in Prod Zone,"Feb 01, 2014",Cyclic Steam,Hydril,"Aug 20, 2007"
 0284606,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-35-067-04W4,"May 01, 2014","May 12, 2014",Open,Parted,561,561,,,Cyclic Steam,Hydril,"Dec 13, 2003"
 0301741,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,14-35-067-04W4,"May 02, 2015","May 05, 2015",Closed,Parted,326,326,Casing Patch,"May 10, 2015",,Hydril,"Apr 01, 2004"
 0317122,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,06-08-068-04W4,"May 06, 2012","May 08, 2012",Closed,Parted,611,611,Bridge Plug,"May 06, 2012",Cyclic Steam,Hydril,"May 02, 2005"
 0317129,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,06-08-068-04W4,"May 06, 2016","May 06, 2016",Closed,Parted,272,272,Cement Squeeze/Plug,"May 08, 2016",Cyclic Steam,Hydril,"May 11, 2005"
 0301755,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-02-068-04W4,"May 07, 2019","Jun 04, 2019",Closed,Parted,271,271,Other,"Jun 30, 2019",Cyclic Steam,Hydril,"Jun 24, 2004"
 0309877,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,11-05-068-04W4,"May 09, 2014","May 12, 2014",Closed,Parted,299,299,Casing Patch,"May 10, 2014",Cyclic Steam,Hydril,"Jan 11, 2005"
 0309864,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,11-05-068-04W4,"May 10, 2013","May 13, 2013",Closed,Parted,247,247,Casing Patch,"May 14, 2013",Cyclic Steam,Hydril,"Jan 18, 2005"
 0396918,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,04-11-068-04W4,"May 12, 2017","Jun 06, 2017",Closed,Parted,253,334,Other,"Jun 28, 2017",Cyclic Steam,Hydril,"Feb 10, 2013"
 0301741,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,14-35-067-04W4,"May 16, 2019","May 16, 2019",Closed,Parted,326,326,Other,"Jun 05, 2019",Cyclic Steam,Hydril,"Apr 01, 2004"
 0319093,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,06-17-068-04W4,"May 17, 2011","Jun 09, 2016",Closed,Parted,292,292,Cemented Liner,"Jul 31, 2016",Cyclic Steam,Hydril,"Aug 29, 2005"
 0319093,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,06-17-068-04W4,"May 17, 2011","May 30, 2011",Closed,Parted,293,293,Casing Patch,"Dec 21, 2013",Cyclic Steam,Hydril,"Aug 29, 2005"
 0424563,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,14-34-067-04W4,"May 17, 2017","May 18, 2017",Closed,Parted,258,258,Other,"Jun 01, 2017",Cyclic Steam,Hydril,"Apr 04, 2011"
 0402532,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-11-068-04W4,"May 22, 2012","Jun 18, 2012",Closed,Parted,542,542,Bridge Plug,"Jun 21, 2012",Cyclic Steam,Hydril,"May 04, 2009"
 0284592,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-35-067-04W4,"May 22, 2019","Jun 10, 2019",Closed,Parted,328,328,Other,"Jun 25, 2019",Cyclic Steam,Hydril,"Nov 07, 2003"
 0409655,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,01-15-068-04W4,"May 23, 2012","Jun 21, 2012",Closed,Parted,606,606,Bridge Plug,"Jul 23, 2012",Cyclic Steam,Hydril,"Aug 21, 2009"
 0442910,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,11-02-067-04W4,"May 28, 2018","May 31, 2018",Closed,Parted,272,272,Cemented Liner,"Jun 15, 2018",Cyclic Steam,Hydril,"Jul 19, 2012"
 0327248,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,05-27-066-05W4,"Nov 05, 2013","Nov 29, 2013",Open,Parted,230,231,,,Cyclic Steam,Hydril,"May 20, 2005"
 0327244,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,05-27-066-05W4,"Nov 08, 2013","Nov 29, 2013",Closed,Parted,285,286,Cement Squeeze/Plug,"May 30, 2018",Cyclic Steam,Hydril,"Apr 12, 2005"
 0409664,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,01-15-068-04W4,"Nov 11, 2017","Nov 15, 2017",Closed,Parted,327,327,Cement Squeeze/Plug,"Mar 15, 2018",Cyclic Steam,Hydril,"Oct 17, 2009"
 0278847,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-26-067-04W4,"Nov 12, 2009","Dec 11, 2009",Open,Parted,270,270,,,Cyclic Steam,Hydril,"Oct 03, 2003"
 0327254,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,05-27-066-05W4,"Nov 13, 2013","Nov 29, 2013",Open,Parted,276,276,,,Cyclic Steam,Hydril,"Apr 17, 2005"
 0343480,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,01-15-067-04W4,"Nov 23, 2008","Dec 10, 2008",Closed,Parted,565,566,Cemented Liner,"Feb 01, 2009",Cyclic Steam,Hydril,"Mar 14, 2006"
 0278849,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-26-067-04W4,"Nov 29, 2011","Dec 08, 2011",Closed,Parted,296,296,Casing Patch,"May 01, 2012",Cyclic Steam,Hydril,"May 05, 2003"
 0317127,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,06-08-068-04W4,"Oct 03, 2013","Oct 09, 2013",Closed,Parted,253,253,Casing Patch,"Oct 10, 2013",Cyclic Steam,Hydril,"Apr 08, 2005"
 0424565,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,14-34-067-04W4,"Oct 04, 2016","Oct 05, 2016",Closed,Parted,256,256,Other,"Oct 14, 2016",Cyclic Steam,Hydril,"Apr 08, 2011"
 0309870,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,11-05-068-04W4,"Oct 16, 2008","Jul 23, 2009",Closed,Parted,548,548,Failure in Prod Zone,"Jul 23, 2009",Cyclic Steam,Hydril,"Sep 20, 2004"
 0445690,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,08-21-068-04W4,"Oct 16, 2018","Dec 11, 2019",Closed,Parted,569,569,Failure in Prod Zone,"Mar 05, 2020",Cyclic Steam,Hydril,"Sep 14, 2012"
 0378144,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,13-06-067-02W4,"Oct 18, 2016","Oct 19, 2016",Closed,Parted,278,278,Casing Patch,"Oct 23, 2016",Cyclic Steam,Hydril,"Aug 20, 2007"
 0301749,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-02-068-04W4,"Oct 20, 2019","Feb 15, 2022",Open,Parted,265,265,,,,Hydril,"Jul 04, 2004"
 0232000,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,05-22-067-04W4,"Oct 21, 2008","Jul 24, 2009",Closed,Parted,594,594,Cemented Liner,"Aug 04, 2009",Cyclic Steam,Hydril,"May 07, 2000"
 0317150,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,11-08-068-04W4,"Oct 21, 2013","Oct 28, 2013",Closed,Parted,251,251,Casing Patch,"Oct 27, 2013",Cyclic Steam,Hydril,"Apr 28, 2005"
 0317128,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,06-08-068-04W4,"Oct 22, 2013","Oct 28, 2013",Closed,Parted,297,297,Casing Patch,"Oct 28, 2013",Cyclic Steam,Hydril,"Apr 17, 2005"
 0309866,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,11-05-068-04W4,"Oct 23, 2008","Jul 23, 2009",Closed,Parted,476,476,Failure in Prod Zone,"Jul 23, 2009",Cyclic Steam,Hydril,"Feb 01, 2005"
 0401746,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-15-068-04W4,"Oct 28, 2015","Nov 24, 2015",Closed,Parted,307,307,Cement Squeeze/Plug,"Nov 24, 2015",Cyclic Steam,Hydril,"Apr 27, 2009"
 0301756,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-02-068-04W4,"Oct 29, 2014","Nov 03, 2014",Closed,Parted,385,385,Entry Error-Ignore,"Nov 07, 2014",,Hydril,"Mar 05, 2004"
 0327246,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,05-27-066-05W4,"Oct 31, 2013","Nov 29, 2013",Closed,Parted,232,232,Cement Squeeze/Plug,"Aug 21, 2015",Cyclic Steam,Hydril,"Apr 02, 2005"
 0402533,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-11-068-04W4,"Sep 03, 2015","Jun 23, 2022",Closed,Parted,265,265,Entry Error-Ignore,"Jun 29, 2023",Cyclic Steam,Hydril,"Jun 14, 2009"
 0402533,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-11-068-04W4,"Sep 03, 2015","Sep 14, 2015",Closed,Parted,265,265,Cement Squeeze/Plug,"Sep 25, 2015",Cyclic Steam,Hydril,"Jun 14, 2009"
 0334067,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,09-04-067-04W4,"Sep 04, 2005","Jan 29, 2016",Closed,Hole,560,590,Cemented Liner,"Dec 15, 2005",Cyclic Steam,Hydril,"Jul 20, 2005"
 0409744,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,04-15-068-04W4,"Sep 07, 2012","Oct 05, 2012",Closed,Parted,566,566,Failure in Prod Zone,"Oct 01, 2012",Cyclic Steam,Hydril,"Jul 05, 2009"
 0317122,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,06-08-068-04W4,"Sep 07, 2013","Sep 10, 2013",Closed,Parted,164,164,Casing Patch,"Sep 15, 2013",Cyclic Steam,Hydril,"May 02, 2005"
 0409740,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,04-15-068-04W4,"Sep 14, 2011","Sep 21, 2011",Closed,Parted,547,547,Failure in Prod Zone,"Sep 21, 2011",Cyclic Steam,Hydril,"Jun 28, 2009"
 0409657,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,01-15-068-04W4,"Sep 14, 2012","Sep 16, 2012",Closed,Parted,634,634,Cement Squeeze/Plug,"Sep 20, 2013",Cyclic Steam,Hydril,"Aug 17, 2009"
 0317123,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,06-08-068-04W4,"Sep 18, 2011","Sep 27, 2011",Closed,Parted,338,338,Cemented Liner,"Apr 20, 2012",Cyclic Steam,Hydril,"May 18, 2005"
 0402532,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-11-068-04W4,"Sep 23, 2015","Sep 25, 2015",Closed,Parted,326,326,Cement Squeeze/Plug,"Sep 26, 2015",Cyclic Steam,Hydril,"May 04, 2009"
 0278838,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,03-26-067-04W4,"Sep 25, 2011","Oct 06, 2011",Closed,Parted,316,316,Casing Patch,"Jul 28, 2014",Cyclic Steam,Hydril,"Oct 02, 2003"
 0319094,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,06-17-068-04W4,"Sep 25, 2012","Jun 09, 2016",Closed,Parted,246,246,Cemented Liner,"Jul 27, 2016",Cyclic Steam,Hydril,"Aug 31, 2005"
 0319094,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,06-17-068-04W4,"Sep 25, 2012","Jul 16, 2014",Closed,Parted,282,282,Casing Patch,"Aug 03, 2014",Cyclic Steam,Hydril,"Aug 31, 2005"
 0319094,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,06-17-068-04W4,"Sep 25, 2012","Oct 09, 2012",Closed,Parted,282,282,Bridge Plug,"Sep 29, 2012",Cyclic Steam,Hydril,"Aug 31, 2005"
 0232236,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,01-21-067-04W4,"Sep 26, 2008","Oct 21, 2008",Closed,Parted,319,320,Cemented Liner,"Aug 04, 2009",Cyclic Steam,Hydril,"Apr 30, 2000"
 0317152,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,11-08-068-04W4,"Sep 26, 2013","Sep 27, 2013",Closed,Parted,277,277,Casing Patch,"Sep 29, 2013",Cyclic Steam,Hydril,"Apr 20, 2005"
 0319120,Suspension,Canadian Natural Resources Limited (0HE9),0HE9,11-17-068-04W4,"Sep 29, 2009","Mar 17, 2010",Closed,Parted,252,253,Casing Patch,"Feb 22, 2011",Cyclic Steam,Hydril,"Jun 26, 2005"
 0015121,Abandoned,Canadian Natural Resources Limited (0HE9),0HE9,10-31-038-26W4,"Apr 01, 1982","Apr 01, 1982",Closed,Hole,869,872,Cement Squeeze/Plug,"Aug 26, 2007",,LTC,"Jun 06, 1958"
 0025072,Abandoned,Long Run Exploration Ltd. (A517),0BL1,04-29-071-18W5,"Apr 01, 1987","Apr 01, 1987",Closed,Hole,1300,,Well/Zone Abandoned,"Nov 30, 2002",,LTC,"Nov 23, 1963"
 0176760,Abandoned,Point Bar Resources Inc. (A7D0),0R46,05-15-056-20W4,"Apr 01, 2003","Apr 29, 2003",Closed,Hole,645,,Cement Squeeze/Plug,"Jul 25, 2003",,LTC,"Mar 21, 1995"
 0259037,Abandoned,Battle River Energy Ltd. (A7WF),0JL8,08-08-040-03W4,"Apr 04, 2012","Apr 09, 2012",Closed,Hole,410,848,Cement Squeeze/Plug,"Jun 04, 2012",,LTC,"Sep 11, 2001"
 0137335,Abandoned,Joli Fou Petroleums Ltd (0AY2),0AY2,08-31-050-11W5,"Apr 06, 2009","Apr 22, 2009",Closed,Hole,1033,1224,Cement Squeeze/Plug,"Apr 07, 2009",,LTC,"Nov 18, 1988"
 0012241,Abandoned,Loyal Energy (canada) Operating Ltd. (A7X9),0JT1,09-31-031-04W5,"Apr 07, 2008","May 21, 2008",Closed,Parted,126,128,Cement Squeeze/Plug,"Oct 04, 2008",,LTC,"Nov 08, 1956"
 0046517,Abandoned,Canadian Natural Resources Limited (0HE9),0007,11-35-017-13W4,"Apr 10, 2005","May 19, 2005",Closed,Hole,69,69,Cement Squeeze/Plug,"Jul 07, 2005",,LTC,"Jul 31, 1973"
 0123507,Abandoned,Surge Energy Inc. (0YK4),0BP8,13-35-086-11W5,"Apr 12, 2012","May 08, 2012",Closed,Hole,200,600,Entry Error-Ignore,"Jun 29, 2012",,LTC,"Aug 26, 1986"
 0480334,Abandoned,Longshore Resources Ltd. (A76W),A71X,08-23-055-21W4,"Apr 13, 2018","May 09, 2018",Closed,Hole,958,1225,Cement Squeeze/Plug,"Jun 03, 2018",,LTC,"Oct 17, 2016"
 0027736,Abandoned,Obsidian Energy Ltd. (0BP8),0BP8,04-29-043-08W5,"Apr 13, 2018","Apr 20, 2018",Closed,Hole,836,1865,Cement Squeeze/Plug,"Jun 07, 2018",,LTC,"Mar 02, 1965"
 0305460,Abandoned,Westbrick Energy Ltd. (A5WB),0Z0H,11-21-046-12W5,"Apr 14, 2004","Apr 19, 2004",Closed,Hole,1619,1629,Cement Squeeze/Plug,"May 17, 2004",,LTC,"May 12, 2004"
 0075154,Abandoned,Imperial Oil Resources Limited (0007),0007,06-27-064-03W4,"Apr 15, 1989","Apr 15, 1989",Closed,Parted,,,Cemented Liner,"Nov 30, 2002",,LTC,"Apr 11, 1979"
 0009606,Abandoned,Karve Energy Inc. (A7BT),0Z0H,10-23-035-07W4,"Apr 19, 2016","May 11, 2016",Closed,Hole,100,150,Cement Squeeze/Plug,"Sep 01, 2016",,LTC,"Jun 26, 1955"
 0020147,Abandoned,Canadian Natural Resources Limited (0HE9),0K29,12-33-067-10W5,"Apr 20, 2006","Jun 13, 2006",Closed,Hole,6,8,Replaced Failed Casing,"May 23, 2006",,LTC,"Jan 11, 1961"
 0114330,Abandoned,Secure Energy Services Inc. (A267),0DP2,06-23-078-07W6,"Apr 24, 1990","Apr 24, 1990",Closed,Hole,,,Packer,"Nov 30, 2002",,LTC,"May 09, 1987"
 0012372,Abandoned,Harvest Operations Corp. (0Z0H),0Z0H,06-33-041-12W4,"Apr 26, 2006","Jun 01, 2006",Closed,Hole,190,191,Cement Squeeze/Plug,"Sep 19, 2006",,LTC,"Oct 11, 1956"
 0127559,Abandoned,Journey Energy Inc. (A2PH),A5RD,12-27-012-05W4,"Apr 29, 2012","May 15, 2012",Closed,Hole,354,358,Cement Squeeze/Plug,"May 12, 2012",,LTC,"Aug 01, 1987"
 0433639,Abandoned,Cenovus Energy Inc. (A5D4),A5D4,05-30-051-06W4,"Apr 29, 2022","May 09, 2022",Closed,Hole,186,188,Bridge Plug,"May 02, 2022",,LTC,"Jun 07, 2011"
 0010497,Abandoned,Canadian Natural Resources Limited (0HE9),A190,05-11-069-22W5,"Aug 01, 1986","Nov 08, 2011",Closed,Hole,1015,1015,Cement Squeeze/Plug,"Jun 30, 2011",,LTC,"Apr 02, 1956"
 0203888,Abandoned,Drake Energy Ltd. (0TG7),0PL8,03-28-109-04W6,"Aug 01, 2000","Aug 09, 2000",Closed,Hole,336,,Cement Squeeze/Plug,"Aug 03, 2000",,LTC,"Sep 18, 1997"
 0022677,Abandoned,Acquisition Oil Corp. (A7N3),0G30,10-31-068-10W5,"Aug 01, 2015","Aug 17, 2015",Closed,Hole,131,132,Bridge Plug,"Aug 02, 2015",,LTC,"Nov 02, 1962"
 0159071,Abandoned,Ipc Canada Ltd. (A868),A5D4,01-09-020-08W4,"Aug 02, 2013","Oct 15, 2013",Closed,Hole,7,879,Cement Squeeze/Plug,"Nov 05, 2013",,LTC,"Jun 28, 1993"
 0092136,Abandoned,Westbrick Energy Ltd. (A5WB),A5WB,06-25-054-16W5,"Aug 02, 2021","Sep 01, 2021",Closed,Hole,923,925,Cement Squeeze/Plug,"Nov 02, 2021",,LTC,"Sep 28, 1981"
